Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","291100","3270","5.5","0x8000000000000800"
"1208000","291100","3281","6.2",""
"2359000","291100","3277","7.3",""
"3509000","291100","3281","8.0",""
"4660000","291100","3279","8.7",""
"5750000","291100","3282","9.4",""
"6957000","291100","3280","10.2",""
"8107000","291100","3281","10.9",""
"9257000","291100","3279","11.6",""
"10406000","291100","3281","12.7",""
"11491000","291100","3280","13.0",""
"12699000","291100","3281","13.7",""
"13848000","291100","3280","14.8",""
"14998000","291100","3281","15.6",""
"16154000","291100","3280","16.7",""
"17244000","291100","3281","17.4",""
"18451000","291100","3280","18.9",""
"19601000","291100","3281","20.0",""
"20751000","291100","3280","21.1",""
"21901000","291100","3281","21.8",""
"22987000","291100","3280","22.5",""
"24195000","291100","3281","23.2",""
"25350000","291100","3280","24.0",""
"26500000","291100","3281","24.7",""
"27649000","291100","3280","25.8",""
"28733000","291100","3281","26.1",""
"29942000","291100","3280","26.8",""
"31091000","291100","3281","27.9",""
"32242000","291100","3280","28.6",""
"33391000","291100","3281","29.4",""
"34476000","291100","3280","30.1",""
"35690000","291100","3280","30.8",""
"36839000","291100","3280","31.9",""
"37989000","291100","3281","33.0",""
"39138000","291100","3280","34.5",""
"40223000","291100","3281","35.2",""
"41431000","291100","3280","36.3",""
"42581000","291100","3281","37.0",""
"43731000","291100","3280","37.8",""
"44881000","291100","3281","38.9",""
"45971000","291100","3280","39.2",""
"47179000","291100","3281","39.9",""
"48328000","291100","3280","41.0",""
"49478000","291100","3281","41.7",""
"50628000","291100","3280","42.4",""
"51713000","291100","3281","43.2",""
"52920000","291100","3280","43.9",""
"54070000","291100","3281","44.6",""
"55226000","291100","3281","45.7",""
"56376000","291100","3281","46.4",""
"57461000","291100","3281","47.5",""
"58674000","291100","3281","48.6",""
"59824000","291100","3281","50.1",""
"60974000","291100","3281","50.8",""
